brand,model,year,transmission,mileage,fuelType,tax,mpg,engineSize,price
merc, SL CLASS,2016,Automatic,20618.0,Diesel,30.0,70.6,2.1,17808
audi, A3,2019,Semi-Auto,5000.0,Petrol,145.0,39.2,2.0,26950
vw, Golf,2019,Semi-Auto,8552.0,Diesel,145.0,52.3,2.0,19350
ford, Focus,2019,Manual,5001.0,Petrol,145.0,60.1,1.0,17280
vw, Up,2017,Manual,,Petrol,145.0,64.2,1.0,8950
merc, C Class,2019,Semi-Auto,13214.0,Petrol,145.0,46.3,1.5,25980
hyundi, I40,2015,Manual,22000.0,Diesel,20.0,67.3,1.7,8495
ford, Ka+,2017,Manual,11149.0,Petrol,145.0,57.7,1.2,7850
hyundi, Kona,2019,Manual,50.0,Petrol,145.0,44.1,1.0,19995
vauxhall, Mokka,2016,Manual,10524.0,Petrol,200.0,40.9,1.6,9000
ford, EcoSport,2017,Manual,23421.0,Petrol,125.0,52.3,1.0,9998
vauxhall, Corsa,2016,Manual,55164.0,Diesel,0.0,88.3,1.2,7995
bmw, X1,2017,Automatic,25190.0,Petrol,145.0,44.8,2.0,22999
ford, Focus,2018,Manual,16582.0,Petrol,145.0,41.5,2.0,15999
ford, Focus,2015,Manual,29188.0,Diesel,20.0,67.3,1.6,9800
bmw, 2 Series,2019,Automatic,12070.0,Hybrid,135.0,148.7,1.5,20850
ford, Focus,2019,Manual,10699.0,Petrol,,50.4,1.5,20491
skoda, Kodiaq,2019,Manual,3896.0,Diesel,145.0,42.8,2.0,22950
skoda, Superb,2015,Manual,42971.0,Diesel,20.0,68.9,1.6,9080
ford, Galaxy,2016,Manual,85259.0,Diesel,125.0,56.5,2.0,12940
vw, Polo,2019,Semi-Auto,5000.0,Petrol,145.0,39.8,2.0,20272
toyota, Aygo,2018,Manual,7050.0,Petrol,145.0,56.5,1.0,8490
bmw, X1,2018,Semi-Auto,13245.0,Diesel,150.0,60.1,2.0,24081
hyundi, I10,2017,Manual,8962.0,Petrol,,60.1,1.0,7000
vauxhall, Grandland X,2018,Manual,14598.0,Diesel,145.0,70.6,1.6,13399
vauxhall, Astra,2017,Manual,38232.0,Petrol,145.0,51.4,1.4,8450
merc, A Class,2019,Semi-Auto,12198.0,Diesel,145.0,65.7,1.5,19284
vauxhall, Meriva,2014,Manual,44151.0,Petrol,145.0,47.1,1.4,6999
audi, A6,2018,Semi-Auto,25105.0,Diesel,145.0,56.5,2.0,23900
ford, Fiesta,2017,Manual,33000.0,Petrol,0.0,65.7,1.0,8600
ford, Focus,2018,Manual,8488.0,Diesel,,,2.0,16998
audi, Q7,2019,Semi-Auto,31.0,Diesel,145.0,33.2,3.0,49990
ford, Fiesta,2017,Manual,17103.0,Diesel,0.0,,1.5,8995
bmw, 1 Series,2018,Automatic,4666.0,Petrol,145.0,32.5,3.0,23499
skoda, Fabia,2017,Manual,8127.0,Petrol,20.0,,1.2,10495
ford, Fiesta,2019,Manual,4061.0,Petrol,150.0,60.1,1.0,14970
bmw, 1 Series,2016,Manual,41621.0,Diesel,,65.7,2.0,12199
audi, A4,2019,Automatic,2349.0,Diesel,145.0,51.4,2.0,22990
hyundi, IX35,2013,Manual,55736.0,Diesel,200.0,48.7,2.0,7999
vw, Polo,2014,Manual,60125.0,Petrol,20.0,,1.0,5995
vauxhall, Corsa,2017,Manual,18805.0,Petrol,30.0,,1.4,7198
vauxhall, Corsa,2017,Manual,17496.0,Petrol,145.0,55.4,1.4,7999
merc, E Class,2017,Semi-Auto,26057.0,Diesel,145.0,72.4,2.0,18870
merc, GLE Class,2020,Automatic,1000.0,Diesel,145.0,32.8,2.9,53998
ford, Focus,2019,Manual,2068.0,Petrol,145.0,58.9,1.0,15650
hyundi, I10,2017,Manual,10049.0,Petrol,30.0,57.7,1.2,7620
toyota, Aygo,2017,Manual,16934.0,Petrol,145.0,68.9,1.0,6992
ford, Fiesta,2017,Manual,18850.0,Petrol,0.0,65.7,1.0,8600
ford, Kuga,2018,Manual,11385.0,Diesel,145.0,64.2,1.5,16998
merc, GLA Class,2019,Semi-Auto,6801.0,Petrol,150.0,48.7,1.6,25495
vauxhall, Zafira,2016,Manual,44313.0,Petrol,205.0,42.2,1.4,7698
vauxhall, Astra,2016,Manual,52594.0,Diesel,,72.4,1.6,8243
hyundi, IX35,2013,Manual,73593.0,Diesel,,53.3,1.7,7500
hyundi, Tucson,2016,Manual,20505.0,Diesel,30.0,61.7,1.7,13500
vw, Polo,2016,Manual,34413.0,Petrol,20.0,60.1,1.2,10495
audi, Q2,2019,Automatic,4573.0,Petrol,145.0,40.9,1.5,23500
audi, A3,2019,Semi-Auto,4000.0,Petrol,145.0,33.2,2.0,33000
hyundi, Tucson,2020,Manual,3000.0,Hybrid,145.0,47.9,1.6,26995
vauxhall, Mokka X,2018,Manual,9347.0,Petrol,145.0,47.1,1.4,12197
vauxhall, Astra,2016,Automatic,46104.0,Diesel,125.0,61.4,1.6,10499
ford, Mondeo,2015,Manual,37114.0,Petrol,145.0,48.7,1.5,10329
vauxhall, Astra,2017,Manual,32997.0,Petrol,125.0,52.3,1.4,8241
bmw, X3,2016,Semi-Auto,26531.0,Diesel,145.0,54.3,2.0,20995
audi, A3,2016,Manual,103040.0,Diesel,20.0,68.9,2.0,7500
toyota, Aygo,2018,Manual,5600.0,Petrol,150.0,56.5,1.0,9995
vw, Up,2014,Manual,27864.0,Petrol,20.0,62.8,1.0,5695
ford, Kuga,2017,Manual,24000.0,Diesel,145.0,54.3,2.0,14855
ford, Fiesta,2017,Manual,20710.0,Petrol,145.0,65.7,1.0,9995
toyota, Aygo,2019,Manual,2902.0,Petrol,145.0,56.5,1.0,9749
ford, Fiesta,2018,Manual,7100.0,Petrol,145.0,65.7,1.0,10950
bmw, 1 Series,2019,Manual,2985.0,Petrol,150.0,44.1,1.5,20980
vauxhall, Mokka,2014,Automatic,33000.0,Petrol,200.0,41.5,1.4,10000
toyota, Yaris,2019,Manual,6020.0,Petrol,145.0,47.9,1.5,10660
skoda, Fabia,2015,Manual,22772.0,Petrol,20.0,58.8,1.2,8075
vauxhall, Mokka X,2019,Manual,7000.0,Petrol,145.0,39.2,1.4,14495
merc, C Class,2019,Semi-Auto,901.0,Diesel,145.0,61.4,2.0,28599
ford, Fiesta,2018,Manual,8578.0,Petrol,145.0,58.9,1.0,12995
vw, Passat,2019,Semi-Auto,1614.0,Hybrid,,43.5,1.4,28995
merc, A Class,2017,Semi-Auto,15001.0,Diesel,145.0,68.9,2.1,17049
ford, Edge,2017,Manual,9975.0,Diesel,145.0,48.7,2.0,21333
vw, Polo,2017,Manual,35000.0,Petrol,145.0,60.1,1.0,8465
audi, A6,2016,Automatic,52255.0,Diesel,30.0,61.4,2.0,18350
ford, Focus,2017,Manual,10708.0,Petrol,145.0,60.1,1.0,11997
vauxhall, Corsa,2017,Manual,20350.0,Petrol,145.0,55.4,1.4,8395
ford, Kuga,2017,Semi-Auto,9963.0,Diesel,145.0,58.9,1.5,15770
vauxhall, Adam,2015,Manual,18996.0,Petrol,,53.3,1.2,6979
bmw, 1 Series,2017,Manual,32811.0,Diesel,,65.7,2.0,15490
toyota, Aygo,2017,Manual,20000.0,Petrol,0.0,68.9,1.0,9495
merc, C Class,2019,Semi-Auto,3229.0,Diesel,145.0,64.2,2.0,31480
ford, Fiesta,2012,Manual,62300.0,Petrol,0.0,65.7,1.0,5999
merc, CLA Class,2014,Manual,82580.0,Diesel,30.0,64.2,1.8,12795
ford, Focus,2011,Automatic,66164.0,Petrol,205.0,42.2,1.6,3995
audi, Q2,2019,Automatic,6994.0,Petrol,145.0,42.8,1.5,23990
bmw, 1 Series,2017,Manual,24757.0,Petrol,150.0,56.5,1.5,12250
hyundi, Tucson,2016,Manual,38564.0,Diesel,30.0,61.7,1.7,12298
vw, Polo,2016,Semi-Auto,8792.0,Petrol,20.0,60.1,1.2,12495
bmw, 2 Series,2016,Manual,81145.0,Diesel,30.0,62.8,2.0,12540
ford, Focus,2019,Manual,7069.0,Petrol,145.0,34.5,2.3,27580
merc, C Class,2014,Semi-Auto,59884.0,Diesel,30.0,64.2,2.1,14780
merc, A Class,2016,Semi-Auto,27663.0,Diesel,20.0,74.3,1.5,15071
vw, Golf,2019,Automatic,5613.0,Petrol,145.0,37.7,2.0,24989
bmw, 3 Series,2019,Semi-Auto,14009.0,Diesel,150.0,55.4,2.0,21450
vauxhall, Adam,2017,Manual,21873.0,Petrol,145.0,52.3,1.4,9995
vw, Arteon,2018,Semi-Auto,7297.0,Petrol,145.0,47.1,2.0,22791
merc, C Class,2016,Semi-Auto,33456.0,Diesel,30.0,64.2,2.1,18349
ford, Fiesta,2014,Manual,12251.0,Petrol,30.0,54.3,1.2,6295
vw, Golf,2018,Manual,23457.0,Petrol,150.0,,1.4,14401
vauxhall, Insignia,2015,Manual,53939.0,Diesel,0.0,,2.0,7495
ford, Focus,2017,Manual,13105.0,Petrol,,,2.0,18200
hyundi, Ioniq,2020,Automatic,4152.0,Hybrid,135.0,1.1,1.6,23895
bmw, 2 Series,2018,Manual,16404.0,Diesel,145.0,64.2,2.0,16570
ford, EcoSport,2014,Manual,37544.0,Diesel,30.0,61.4,1.5,7495
bmw, 2 Series,2016,Automatic,67000.0,Petrol,160.0,46.3,2.0,15995
audi, A5,2018,Semi-Auto,18139.0,Petrol,150.0,36.7,3.0,30990
vauxhall, Grandland X,2020,Manual,10.0,Petrol,145.0,45.6,1.2,22590
merc, C Class,2007,Automatic,50500.0,Petrol,300.0,34.5,1.8,5995
hyundi, Kona,2019,Manual,14000.0,Petrol,145.0,44.1,1.0,14495
ford, Kuga,2015,Manual,48861.0,Diesel,125.0,60.1,2.0,9999
vw, Arteon,2019,Automatic,9956.0,Petrol,145.0,47.1,2.0,26690
audi, A3,2016,Semi-Auto,43014.0,Diesel,125.0,57.6,2.0,16298
merc, E Class,2013,Manual,127600.0,Diesel,125.0,51.4,2.1,5995
hyundi, Tucson,2017,Semi-Auto,38428.0,Diesel,150.0,,1.7,13298
vw, Touran,2018,Automatic,15334.0,Diesel,145.0,65.7,1.6,17500
ford, Kuga,2015,Manual,45180.0,Diesel,145.0,54.3,2.0,13699
skoda, Octavia,2017,Manual,18877.0,Diesel,0.0,74.3,1.6,11298
merc, GLC Class,2019,Semi-Auto,3628.0,Diesel,145.0,44.8,2.0,32495
ford, Fiesta,2019,Manual,9063.0,Petrol,145.0,58.9,1.0,14899
bmw, 1 Series,2016,Manual,42452.0,Diesel,30.0,62.8,2.0,14881
ford, Focus,2019,Automatic,,Petrol,145.0,50.4,1.0,17125
toyota, Aygo,2019,Manual,5100.0,Petrol,145.0,56.5,1.0,9295
merc, CL Class,2020,Semi-Auto,2000.0,Diesel,145.0,55.4,2.0,32499
vauxhall, Corsa,2015,Manual,53847.0,Petrol,30.0,55.4,1.4,5295
ford, Focus,2019,Manual,9938.0,Diesel,145.0,61.4,1.5,16890
bmw, 1 Series,2015,Manual,28200.0,Petrol,30.0,56.5,1.5,10499
ford, Galaxy,2016,Manual,11100.0,Diesel,125.0,56.5,2.0,19998
skoda, Karoq,2019,Automatic,9700.0,Petrol,145.0,41.5,1.5,19980
merc, X-CLASS,2018,Manual,14243.0,Diesel,260.0,37.2,2.3,18991
ford, Fiesta,2016,Manual,21000.0,Petrol,0.0,65.7,1.0,8289
vw, Golf,2006,Manual,73566.0,Petrol,205.0,41.5,1.6,2891
vw, Polo,2017,Manual,39758.0,Petrol,20.0,60.1,1.2,9290
vw, Polo,2014,Manual,42228.0,Petrol,,58.9,1.2,7600
ford, Fiesta,2015,Manual,18136.0,Diesel,0.0,88.3,1.5,9800
merc, C Class,2017,Semi-Auto,44998.0,Diesel,30.0,65.7,2.1,22449
toyota, C-HR,2017,Automatic,12771.0,Hybrid,0.0,74.3,1.8,20000
skoda, Superb,2017,Automatic,29985.0,Petrol,145.0,43.5,2.0,18500
toyota, Yaris,2017,Manual,20175.0,Petrol,30.0,58.0,1.3,9000
vw, CC,2016,Manual,36700.0,Diesel,30.0,62.8,2.0,10850
ford, Fiesta,2017,Manual,5244.0,Petrol,150.0,,1.0,10991
ford, EcoSport,2014,Manual,55000.0,Petrol,160.0,44.8,1.5,7495
vauxhall, Corsa,2016,Manual,20269.0,Petrol,30.0,55.4,1.4,6998
hyundi, Tucson,2018,Manual,10354.0,Petrol,145.0,44.8,1.6,14970
merc, A Class,2017,Automatic,33069.0,Diesel,150.0,76.4,1.5,13500
vauxhall, Corsa,2016,Manual,28508.0,Petrol,125.0,53.3,1.2,5925
ford, Kuga,2017,Manual,50736.0,Diesel,150.0,54.3,2.0,14298
vauxhall, Insignia,2014,Manual,79000.0,Diesel,20.0,72.4,2.0,5995
ford, Fiesta,2018,Manual,13456.0,Petrol,,62.8,1.0,13991
bmw, 2 Series,2019,Semi-Auto,8257.0,Petrol,145.0,47.9,2.0,23806
vw, Amarok,2019,Automatic,3500.0,Diesel,260.0,28.3,3.0,33995
bmw, X1,2015,Semi-Auto,48102.0,Diesel,160.0,52.3,2.0,12979
ford, Focus,2019,Manual,6388.0,Diesel,145.0,,1.5,15750
merc, GL Class,2018,Automatic,13436.0,Petrol,,50.4,1.6,19999
audi, A6,2016,Semi-Auto,27915.0,Diesel,30.0,61.4,3.0,19990
ford, Grand C-MAX,2018,Automatic,1298.0,Diesel,145.0,51.4,1.5,15999
merc, C Class,2018,Semi-Auto,9977.0,Diesel,145.0,54.3,2.0,28049
toyota, RAV4,2017,Manual,48713.0,Diesel,,60.1,2.0,13998
audi, A3,2020,Manual,5000.0,Diesel,145.0,54.3,1.6,20995
bmw, 3 Series,2017,Automatic,26916.0,Diesel,125.0,57.6,2.0,20950
bmw, 2 Series,2019,Manual,6311.0,Petrol,145.0,42.8,1.5,18950
ford, Fiesta,2017,Manual,21632.0,Petrol,145.0,54.3,1.2,8498
bmw, 3 Series,2018,Semi-Auto,7298.0,Diesel,145.0,51.4,3.0,24888
vauxhall, Crossland X,2019,Automatic,1343.0,Petrol,145.0,42.2,1.2,13199
skoda, Octavia,2017,Semi-Auto,31283.0,Diesel,0.0,76.4,1.6,10975
bmw, 1 Series,2014,Automatic,12528.0,Petrol,125.0,50.4,1.6,11999
merc, C Class,2017,Semi-Auto,20699.0,Petrol,145.0,33.6,4.0,36895
vauxhall, Corsa,2015,Manual,32454.0,Petrol,125.0,54.3,1.4,6300
bmw, 1 Series,2019,Semi-Auto,6173.0,Diesel,145.0,67.3,2.0,19250
vauxhall, Mokka X,2017,Manual,33196.0,Petrol,200.0,42.2,1.6,9798
ford, Fiesta,2017,Manual,10000.0,Petrol,,65.7,1.0,10990
ford, B-MAX,2013,Semi-Auto,48232.0,Petrol,165.0,44.1,1.6,4990
ford, Fiesta,2017,Manual,16730.0,Petrol,0.0,65.7,1.0,9850
vw, Golf,2019,Semi-Auto,4722.0,Petrol,145.0,43.5,1.5,21864
merc, B Class,2019,Semi-Auto,12733.0,Petrol,145.0,45.6,1.3,22199
bmw, 3 Series,2017,Automatic,48704.0,Petrol,125.0,51.4,2.0,13500
vw, Touran,2017,Semi-Auto,20685.0,Petrol,125.0,51.4,1.4,19841
hyundi, I10,2019,Manual,3215.0,Petrol,145.0,49.6,1.0,9380
ford, Focus,2017,Manual,40454.0,Diesel,,67.3,2.0,15877
vw, Golf,2020,Manual,1555.0,Diesel,145.0,57.7,1.6,20396
bmw, X2,2019,Semi-Auto,3235.0,Petrol,145.0,34.0,2.0,33520
vw, Golf,2019,Semi-Auto,7231.0,Diesel,145.0,,2.0,25490
vauxhall, Corsa,2019,Manual,10.0,Petrol,,43.5,1.4,11995
toyota, C-HR,2018,Automatic,18687.0,Hybrid,140.0,74.3,1.8,21995
hyundi, I30,2015,Manual,17673.0,Diesel,,78.4,1.6,7999
skoda, Octavia,2007,Manual,116000.0,Diesel,165.0,47.9,2.0,2295
toyota, C-HR,2017,Automatic,18079.0,Hybrid,0.0,74.3,1.8,20500
vauxhall, Grandland X,2019,Manual,28792.0,Petrol,145.0,44.1,1.2,13199
merc, CLA Class,2017,Automatic,18550.0,Diesel,,70.6,2.1,18900
bmw, X3,2019,Automatic,4250.0,Petrol,145.0,30.4,2.0,32850
bmw, X1,2019,Semi-Auto,3796.0,Diesel,145.0,36.7,2.0,34791
audi, A3,2016,Manual,29813.0,Diesel,0.0,74.3,1.6,11790
ford, Ka+,2018,Manual,3569.0,Petrol,145.0,57.7,1.2,7995
vw, Golf,2017,Semi-Auto,22200.0,Petrol,150.0,55.4,1.4,14591
vw, Amarok,2016,Automatic,32990.0,Diesel,260.0,35.3,2.0,18850
audi, A5,2019,Automatic,3797.0,Diesel,145.0,50.4,2.0,26500
vauxhall, Astra,2019,Manual,16756.0,Petrol,145.0,48.7,1.0,11495
merc, SL CLASS,2017,Semi-Auto,20028.0,Diesel,30.0,70.6,2.1,20298
merc, GLE Class,2019,Semi-Auto,6925.0,Diesel,,,3.0,53750
vauxhall, Astra,2019,Manual,5926.0,Petrol,145.0,47.9,1.4,13790
skoda, Octavia,2019,Automatic,2636.0,Diesel,145.0,70.6,1.6,16890
ford, EcoSport,2017,Manual,33278.0,Petrol,145.0,52.3,1.0,9998
skoda, Citigo,2012,Automatic,20205.0,Petrol,,62.8,1.0,6245
vw, Golf,2019,Manual,50.0,Diesel,145.0,62.8,2.0,20000
vauxhall, Insignia,2016,Manual,48165.0,Diesel,20.0,68.9,1.6,8725
bmw, 1 Series,2016,Manual,24997.0,Petrol,260.0,36.2,3.0,18998
bmw, 3 Series,2017,Manual,22763.0,Petrol,145.0,,2.0,13600
vauxhall, Astra,2016,Manual,,Petrol,125.0,51.4,1.4,10036
audi, Q5,2016,Semi-Auto,40063.0,Diesel,200.0,47.1,2.0,21440
vw, Tiguan,2016,Manual,38501.0,Diesel,125.0,56.5,2.0,11999
audi, A3,2017,Manual,12396.0,Petrol,20.0,60.1,1.0,13495
bmw, 3 Series,2018,Automatic,29473.0,Diesel,145.0,64.2,2.0,19800
ford, Kuga,2015,Manual,63000.0,Diesel,,54.3,2.0,12150
bmw, 1 Series,2019,Automatic,5979.0,Diesel,145.0,48.7,2.0,30180
merc, C Class,2018,Semi-Auto,5232.0,Diesel,145.0,65.7,1.6,19660
ford, EcoSport,2019,Manual,7513.0,Petrol,150.0,51.4,1.0,15590
bmw, X2,2020,Semi-Auto,700.0,Petrol,145.0,34.0,2.0,39991
vw, Passat,2019,Manual,71.0,Petrol,145.0,45.6,1.5,21999
vw, Tiguan,2017,Manual,,Diesel,145.0,50.4,2.0,23991
vauxhall, Astra,2018,Manual,17804.0,Petrol,145.0,62.8,1.0,10599
merc, GLA Class,2019,Semi-Auto,6190.0,Petrol,150.0,44.8,1.6,27588
ford, Focus,2016,Manual,69312.0,Diesel,,74.3,1.5,7998
vw, Caddy Maxi Life,2019,Semi-Auto,,Diesel,145.0,58.9,2.0,20994
audi, A1,2020,Manual,2500.0,Petrol,,48.7,1.0,18500
audi, A1,2013,Semi-Auto,52278.0,Petrol,125.0,53.3,1.4,9991
vw, Sharan,2019,Semi-Auto,9566.0,Diesel,145.0,41.5,2.0,24495
ford, Kuga,2018,Semi-Auto,14840.0,Diesel,145.0,58.9,1.5,17775
ford, Focus,2017,Semi-Auto,,Petrol,125.0,51.4,1.0,10890
ford, Fiesta,2017,Manual,29307.0,Petrol,145.0,65.7,1.0,9489
bmw, 3 Series,2014,Automatic,85000.0,Diesel,145.0,55.4,2.0,13990
audi, TT,2015,Manual,34897.0,Petrol,,46.3,2.0,14799
bmw, 3 Series,2017,Manual,15467.0,Petrol,145.0,48.7,2.0,13795
ford, Fiesta,2013,Semi-Auto,23079.0,Petrol,145.0,47.9,1.6,7860
merc, C Class,2019,Semi-Auto,7075.0,Diesel,145.0,57.7,2.0,28589
bmw, X6,2017,Automatic,31931.0,Petrol,145.0,29.1,4.4,36000
vw, Polo,2015,Manual,34410.0,Petrol,20.0,60.1,1.0,7450
vw, Up,2014,Automatic,20406.0,Petrol,20.0,62.8,1.0,7150
